timestamp_psychopy,timestamp_absolute,trigger_code,event_name,sent_to_eeg
8.855710,2026-01-26 14:28:08.778,50,block_start,no
8.876185,2026-01-26 14:28:08.799,1,trigger_1,no
10.893909,2026-01-26 14:28:10.816,10,concept_shoulder_category_A,no
12.911024,2026-01-26 14:28:12.833,30,beep_start,no
12.930885,2026-01-26 14:28:12.853,31,beep_1_8,no
13.746493,2026-01-26 14:28:13.669,31,beep_2_8,no
14.563603,2026-01-26 14:28:14.486,31,beep_3_8,no
15.383025,2026-01-26 14:28:15.306,31,beep_4_8,no
16.198287,2026-01-26 14:28:16.121,31,beep_5_8,no
17.030582,2026-01-26 14:28:16.953,31,beep_6_8,no
17.850224,2026-01-26 14:28:17.773,31,beep_7_8,no
18.666623,2026-01-26 14:28:18.589,31,beep_8_8,no
19.484416,2026-01-26 14:28:19.406,40,trigger_40,no
21.003083,2026-01-26 14:28:20.926,1,trigger_1,no
23.037165,2026-01-26 14:28:22.960,20,concept_strawberry_category_B,no
25.054924,2026-01-26 14:28:24.977,30,beep_start,no
25.074478,2026-01-26 14:28:24.997,31,beep_1_8,no
25.889386,2026-01-26 14:28:25.812,31,beep_2_8,no
26.706939,2026-01-26 14:28:26.629,31,beep_3_8,no
27.522420,2026-01-26 14:28:27.444,31,beep_4_8,no
28.341622,2026-01-26 14:28:28.264,31,beep_5_8,no
29.159173,2026-01-26 14:28:29.082,31,beep_6_8,no
29.974928,2026-01-26 14:28:29.897,31,beep_7_8,no
30.793846,2026-01-26 14:28:30.716,31,beep_8_8,no
31.611412,2026-01-26 14:28:31.533,40,trigger_40,no
32.612087,2026-01-26 14:28:32.535,51,block_end,no
